Scheme_Code	Scheme_Name	Asset_Value	NAV	Date
148534	ITI Banking & PSU Debt Fund - Direct Plan - Growth Option	13381.60	13.3816	17-Jun-2025
148536	ITI Banking & PSU Debt Fund - Direct Plan - IDCW Option	13382.70	13.3827	17-Jun-2025
148535	ITI Banking & PSU Debt Fund - Regular Plan - Growth Option	13043.00	13.0430	17-Jun-2025
148533	ITI Banking & PSU Debt Fund - Regular Plan - IDCW Option	13044.10	13.0441	17-Jun-2025
123688	Kotak Banking and PSU Debt - Annual Dividend	16184.20	16.1842	15-Sep-2017
123858	Kotak Banking and PSU Debt - Daily Dividend Reinvestment	10188.00	10.188	15-Sep-2017
123859	Kotak Banking and PSU Debt - Direct Daily Dividend Reinvestment	10260.40	10.2604	15-Sep-2017
123690	Kotak Banking and PSU Debt - Growth	65662.20	65.6622	17-Jun-2025
123691	Kotak Banking and PSU Debt - Monthly Payout of Income Distribution cum capital withdrawal option	12336.40	12.3364	17-Jun-2025
123689	Kotak Banking and PSU Debt Direct - Annual Dividend	17142.70	17.1427	15-Sep-2017
123693	Kotak Banking and PSU Debt Direct - Growth	68405.40	68.4054	17-Jun-2025
123692	Kotak Banking and PSU Debt Direct - Monthly Payout of Income Distribution cum capital withdrawal option	10259.90	10.2599	17-Jun-2025
120337	LIC MF Banking & PSU Fund-Direct Plan-Daily IDCW	14260.80	14.2608	17-Jun-2025
120338	LIC MF Banking & PSU Fund-Direct Plan-Growth	37699.60	37.6996	17-Jun-2025
120339	LIC MF Banking & PSU Fund-Direct Plan-Monthly IDCW	14198.10	14.1981	17-Jun-2025
120336	LIC MF Banking & PSU Fund-Direct Plan-Weekly IDCW	10045.90	10.0459	17-Jun-2025
105822	LIC MF Banking & PSU Fund-Regular Plan-Daily IDCW	11246.60	11.2466	17-Jun-2025
105823	LIC MF Banking & PSU Fund-Regular Plan-Growth	34962.70	34.9627	17-Jun-2025
105856	LIC MF Banking & PSU Fund-Regular Plan-Monthly IDCW	13085.20	13.0852	17-Jun-2025
105857	LIC MF Banking & PSU Fund-Regular Plan-Weekly IDCW	10376.40	10.3764	17-Jun-2025
148419	Mirae Asset Banking and PSU Fund - Direct Plan - Growth	13287.90	13.2879	17-Jun-2025
148417	Mirae Asset Banking and PSU Fund - Direct Plan - IDCW	13283.30	13.2833	17-Jun-2025
148416	Mirae Asset Banking and PSU Fund - Regular Plan - Growth	12999.20	12.9992	17-Jun-2025
148418	Mirae Asset Banking and PSU Fund - Regular plan - IDCW	13000.30	13.0003	17-Jun-2025
134552	Nippon India Banking  & PSU Debt Fund- Direct Plan-Growth Plan- Bonus Option	21627.20	21.6272	17-Jun-2025
134547	Nippon India Banking  & PSU Debt Fund- Direct Plan-Growth Plan- Growth Option	21627.10	21.6271	17-Jun-2025
134546	Nippon India Banking  & PSU Debt Fund- Growth Plan- Bonus Option	12345.20	12.3452	02-Feb-2018
134545	Nippon India Banking  & PSU Debt Fund- Growth Plan- Growth Option	20843.30	20.8433	17-Jun-2025
134555	NIPPON INDIA BANKING & PSU DEBT FUND - Direct Plan - IDCW Option	21627.10	21.6271	17-Jun-2025
134550	NIPPON INDIA BANKING & PSU DEBT FUND - Direct Plan - MONTHLY IDCW Option	10771.60	10.7716	17-Jun-2025
134556	NIPPON INDIA BANKING & PSU DEBT FUND - Direct Plan - QUARTERLY IDCW Option	11204.30	11.2043	17-Jun-2025
134554	NIPPON INDIA BANKING & PSU DEBT FUND - Direct Plan - WEEKLY IDCW Option	10461.70	10.4617	17-Jun-2025
134548	NIPPON INDIA BANKING & PSU DEBT FUND - IDCW Option	20843.30	20.8433	17-Jun-2025
134549	NIPPON INDIA BANKING & PSU DEBT FUND - MONTHLY IDCW Option	10701.30	10.7013	17-Jun-2025
134551	NIPPON INDIA BANKING & PSU DEBT FUND - QUARTERLY IDCW Option	11135.30	11.1353	17-Jun-2025
134553	NIPPON INDIA BANKING & PSU DEBT FUND - WEEKLY IDCW Option	10462.60	10.4626	17-Jun-2025
125502	SBI Banking & PSU Fund - Direct Plan - Daily Income Distribution cum Capital Withdrawal Option (IDCW)	1463466.70	1463.4667	17-Jun-2025
125503	SBI BANKING & PSU FUND - Direct Plan - Growth	3322491.70	3322.4917	17-Jun-2025
125505	SBI Banking & PSU Fund - Direct Plan - Monthly Income Distribution cum Capital Withdrawal Option (IDCW)	1311711.50	1311.7115	17-Jun-2025
125504	SBI Banking & PSU Fund - Direct Plan - Weekly Income Distribution cum Capital Withdrawal Option (IDCW)	1460218.50	1460.2185	17-Jun-2025
125498	SBI BANKING & PSU FUND - Regular Paln - Growth	3126988.80	3126.9888	17-Jun-2025
125499	SBI Banking & PSU Fund - Regular Plan - Daily Income Distribution cum Capital Withdrawal Option (IDCW)	1426619.20	1426.6192	17-Jun-2025
125501	SBI Banking & PSU Fund - Regular Plan - Monthly Income Distribution cum Capital Withdrawal Option (IDCW)	1230668.90	1230.6689	17-Jun-2025
125500	SBI Banking & PSU Fund - Regular Plan - Weekly Income Distribution cum Capital Withdrawal Option (IDCW)	1426275.40	1426.2754	17-Jun-2025
134363	Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Direct Growth	11706.50	11.7065	17-Mar-2017
134370	Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Direct Monthly Dividend	11400.80	11.4008	17-Mar-2017
134369	Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Direct Quarterly Dividend	10635.60	10.6356	31-Mar-2016
134355	Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Annual Bonus	11631.90	11.6319	17-Feb-2017
134358	Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Daily Dividend Reinvestment	11658.20	11.6582	17-Mar-2017
134356	Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Growth	11649.30	11.6493	17-Mar-2017
134359	Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Monthly Dividend	11141.10	11.1411	17-Mar-2017
134361	Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Quarterly Bonus	11168.10	11.1681	16-Aug-2016
134362	Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Quarterly Dividend	11023.60	11.0236	17-Mar-2017
134360	Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Weekly Dividend	10141.80	10.1418	17-Mar-2017
119629	Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Direct Plan - Bonus	21901.90	21.9019	17-Jun-2025
119627	Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Direct Plan - Daily Reinvestment of Income Distribution cum Capital Withdrawal (IDCW)	10230.00	10.2300	28-Jun-2024
119625	Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Direct Plan - Growth	43780.20	43.7802	17-Jun-2025
119626	Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Direct Plan - Monthly Income Distribution cum Capital Withdrawal (IDCW)	11760.10	11.7601	17-Jun-2025
118326	Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Bonus	21769.10	21.7691	17-Jun-2025
100782	Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Daily Reinvestment of Income Distribution cum Capital Withdrawal (IDCW)	10355.00	10.3550	28-Jun-2024
100784	Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Growth	43169.30	43.1693	17-Jun-2025
100793	Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Monthly Income Distribution cum Capital Withdrawal (IDCW)	11806.30	11.8063	17-Jun-2025
100783	Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Weekly Reinvestment of Income Distribution cum Capital Withdrawal (IDCW)	12103.50	12.1035	28-Jun-2024
100781	Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Retail Plan - Growth	35620.60	35.6206	28-Jun-2024
100780	Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Retail Plan - Monthly Income Distribution cum Capital Withdrawal (IDCW)	11490.80	11.4908	28-Jun-2024
148656	TRUSTMF BANKING & PSU FUND - DIRECT GROWTH	1299903.10	1299.9031	17-Jun-2025
148655	TRUSTMF BANKING & PSU FUND - REGULAR GROWTH	1271764.00	1271.764	17-Jun-2025
148672	TRUSTMF BANKING & PSU FUND DIRECT PLAN ANNUAL INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL OPTION	1140195.30	1140.1953	17-Jun-2025
148678	TRUSTMF BANKING & PSU FUND DIRECT PLAN DAILY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1298594.20	1298.5942	17-Jun-2025
148681	TRUSTMF BANKING & PSU FUND DIRECT PLAN MONTHLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL OPTION	1142007.70	1142.0077	17-Jun-2025
148670	TRUSTMF BANKING & PSU FUND DIRECT PLAN QUARTERLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1164707.40	1164.7074	17-Jun-2025
148675	TRUSTMF BANKING & PSU FUND DIRECT PLAN WEEKLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1121617.70	1121.6177	17-Jun-2025
148669	TRUSTMF BANKING & PSU FUND REGULAR PLAN ANNUAL INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1113407.20	1113.4072	17-Jun-2025
148667	TRUSTMF BANKING & PSU FUND REGULAR PLAN DAILY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1227189.10	1227.1891	17-Jun-2025
148674	TRUSTMF BANKING & PSU FUND REGULAR PLAN MONTHLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1122551.30	1122.5513	17-Jun-2025
148668	TRUSTMF BANKING & PSU FUND REGULAR PLAN QUARTERLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1139612.80	1139.6128	17-Jun-2025
148679	TRUSTMF BANKING & PSU FUND REGULAR PLAN WEEKLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1104719.40	1104.7194	17-Jun-2025
140135	UTI Banking & PSU Fund - Direct Plan - Annual IDCW	13211.20	13.2112	17-Jun-2025
133972	UTI Banking & PSU Fund - Direct Plan - Flexi IDCW	19264.00	19.264	17-Jun-2025
126940	UTI Banking & PSU Fund - Direct Plan - Growth Option	22355.00	22.355	17-Jun-2025
141375	UTI Banking & PSU Fund - Direct Plan - Half-Yearly IDCW	14834.20	14.8342	17-Jun-2025
134026	UTI Banking & PSU Fund - Direct Plan - Monthly IDCW	13492.10	13.4921	17-Jun-2025
126942	UTI Banking & PSU Fund - Direct Plan - Quarterly IDCW	16638.50	16.6385	17-Jun-2025
140116	UTI Banking & PSU Fund - Regular Plan - Annual IDCW	12970.00	12.97	17-Jun-2025
133971	UTI Banking & PSU Fund - Regular Plan - Flexi IDCW	14741.10	14.7411	17-Jun-2025
139407	UTI Banking & PSU Fund - Regular Plan - Half-Yearly IDCW	14679.30	14.6793	17-Jun-2025
136110	UTI Banking & PSU Fund - Regular Plan - Monthly IDCW	13270.70	13.2707	17-Jun-2025
126941	UTI Banking & PSU Fund - Regular Plan - Quarterly IDCW	15084.90	15.0849	17-Jun-2025
126939	UTI Banking & PSU Fund- Regular Plan - Growth Option	21981.60	21.9816	17-Jun-2025
119533	Aditya Birla Sun Life Corporate Bond Fund - Growth - Direct Plan	115187.00	115.187	17-Jun-2025
103178	Aditya Birla Sun Life Corporate Bond Fund - Growth - Regular Plan	113271.80	113.2718	17-Jun-2025
124832	Aditya Birla Sun Life Corporate Bond Fund -DIRECT - IDCW	10727.20	10.7272	17-Jun-2025
119532	Aditya Birla Sun Life Corporate Bond Fund -DIRECT - MONTHLY IDCW	12903.30	12.9033	17-Jun-2025
124833	Aditya Birla Sun Life Corporate Bond Fund -REGULAR - IDCW	12049.10	12.0491	17-Jun-2025
103183	Aditya Birla Sun Life Corporate Bond Fund -REGULAR - MONTHLY IDCW	12705.60	12.7056	17-Jun-2025
141586	Axis Corporate Bond Fund - Direct Plan - Daily IDCW	10208.40	10.2084	17-Jun-2025
141590	Axis Corporate Bond Fund - Direct Plan - Monthly IDCW	10282.80	10.2828	17-Jun-2025
141591	Axis Corporate Bond Fund - Direct Plan - Regular IDCW	14155.80	14.1558	17-Jun-2025
141587	Axis Corporate Bond Fund - Direct Plan - Weekly IDCW	10377.40	10.3774	17-Jun-2025
141588	Axis Corporate Bond Fund - Direct Plan Growth	18144.90	18.1449	17-Jun-2025
141589	Axis Corporate Bond Fund - Regular Plan - Daily IDCW	10206.50	10.2065	17-Jun-2025
141594	Axis Corporate Bond Fund - Regular Plan - Monthly IDCW	10213.10	10.2131	17-Jun-2025
141595	Axis Corporate Bond Fund - Regular Plan - Regular IDCW	13249.20	13.2492	17-Jun-2025
141592	Axis Corporate Bond Fund - Regular Plan - Weekly IDCW	10226.20	10.2262	17-Jun-2025
141593	Axis Corporate Bond Fund - Regular Plan Growth	17148.40	17.1484	17-Jun-2025
139201	BANDHAN Corporate Bond Fund - Direct Annual IDCW	10538.00	10.5380	17-Jun-2025
135916	BANDHAN Corporate Bond Fund - Direct Growth	19857.30	19.8573	17-Jun-2025
139200	BANDHAN Corporate Bond Fund - Direct Half Yearly IDCW	11834.50	11.8345	17-Jun-2025
139198	BANDHAN Corporate Bond Fund - Direct Monthly IDCW	10342.60	10.3426	17-Jun-2025
135917	BANDHAN Corporate Bond Fund - Direct Periodic IDCW	13174.00	13.1740	17-Jun-2025
139199	BANDHAN Corporate Bond Fund - Direct Quarterly IDCW	10867.80	10.8678	17-Jun-2025
139204	BANDHAN Corporate Bond Fund - Regular Annual IDCW	10523.80	10.5238	17-Jun-2025
135914	BANDHAN Corporate Bond Fund - Regular Growth	19286.40	19.2864	17-Jun-2025
139203	BANDHAN Corporate Bond Fund - Regular Half Yearly IDCW	11208.50	11.2085	17-Jun-2025
139202	BANDHAN Corporate Bond Fund - Regular Monthly IDCW	10594.50	10.5945	17-Jun-2025
135915	BANDHAN Corporate Bond Fund - Regular Periodic IDCW	13001.60	13.0016	17-Jun-2025
139205	BANDHAN Corporate Bond Fund - Regular Quarterly IDCW	10899.80	10.8998	17-Jun-2025
150230	BARODA BNP PARIBAS Corporate Bond Fund - Defunct Plan - Annual-IDCW Option	11498.70	11.4987	17-Jun-2025
150229	BARODA BNP PARIBAS Corporate Bond Fund - Defunct Plan - Growth Option	31943.90	31.9439	17-Jun-2025
150231	BARODA BNP PARIBAS Corporate Bond Fund - Defunct Plan - Monthly-IDCW Option	10511.90	10.5119	17-Jun-2025
150228	BARODA BNP PARIBAS Corporate Bond Fund - Defunct Plan - Quarterly-IDCW Option	10634.30	10.6343	17-Jun-2025
150236	BARODA BNP PARIBAS Corporate Bond Fund - Direct Plan - Annual IDCW Option	11738.10	11.7381	17-Jun-2025
150237	BARODA BNP PARIBAS Corporate Bond Fund - Direct Plan - Growth Option	29284.20	29.2842	17-Jun-2025
